Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
LRG TECH,MPS-3400-GS14-1,"Commander 3400 Series Mobile Pro Systems Trailer.ÿ Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put your technology right where You need it. Configuration Includes?","$52,815.99 ","$35,386.71 ",33%,"$42,127.04 ",20%,"$41,885.17 ",US,1 Year
LRG TECH,MPS-3400-GS14-2,"Commander 3400 Series Mobile Pro Systems Trailer.ÿ Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put your technology right where You need it.","$65,360.63 ","$43,791.62 ",33%,"$52,132.88 ",20%,"$51,833.56 ",US,1 Year
LRG TECH,MPS-3400-GS14-3,"Commander 3400 Series Mobile Pro Systems Trailer.ÿ Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put your technology right where You need it. Configuration Includes?","$73,660.89 ","$49,352.80 ",33%,"$58,753.33 ",20%,"$58,415.99 ",US,1 Year
LRG TECH,MPS-3400-GS14-4,"Commander 3400 Series Mobile Pro Systems Trailer.ÿ Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put your technology right where You need it. Configuration Includes?","$89,991.39 ","$60,294.23 ",33%,"$71,778.85 ",20%,"$71,366.73 ",US,1 Year
LRG TECH,MPS-3400-GS14-5,"Commander 3400 Series Mobile Pro Systems Trailer.ÿ Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put your technology right where You need it. Configuration Includes?","$101,457.87 ","$67,976.77 ",33%,"$80,924.73 ",20%,"$80,460.10 ",US,1 Year
LRG TECH,MPS-2800-GS14-1,"Commander 2800 Series Mobile Pro Systems Trailer. Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design.","$41,289.30 ","$27,663.83 ",33%,"$32,933.13 ",20%,"$32,744.05 ",US,1 Year
LRG TECH,MPS-2800-GS14-2,"Commander 2800 Series Mobile Pro Systems Trailer. Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design.","$48,472.59 ","$32,476.64 ",33%,"$38,662.66 ",20%,"$38,440.68 ",US,1 Year
LRG TECH,MPS-2800-GS14-3,"Commander 2800 Series Mobile Pro Systems Trailer. Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design.","$59,033.19 ","$39,552.24 ",33%,"$47,086.00 ",20%,"$46,815.65 ",US,1 Year
LRG TECH,PS-14-01,"PowerSentry Control System with: Sgl Battery Section: 45ah Battery Pack: Fixed 5 MP Camera: Edge Camera Recording License: On-board Cellular, WiFi, Ethernet","$8,812.50 ","$5,904.38 ",33%,"$7,029.02 ",20%,"$6,988.66 ",US,1 Year
LRG TECH,PS-14-02,"PowerSentry Control System with: Sgl Battery Section: 45ah Battery Pack: Fixed 5 MP Camera: Edge Camera Recording License: Optex LX Motion Detection: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes","$9,210.00 ","$6,170.70 ",33%,"$7,346.07 ",20%,"$7,303.89 ",US,1 Year
LRG TECH,PS-14-03,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed 5 MP Camera: Edge Camera Recording License: Optex LX Motion Detection: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes: Side Mt Light Kit","$11,100.00 ","$7,437.00 ",33%,"$8,853.57 ",20%,"$8,802.74 ",US,1 Year
LRG TECH,PS-14-04,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed 5 MP Camera: Edge Camera Recording License: On-board Cellular, WiFi, Ethernet: 130 Watt Solar System","$11,865.00 ","$7,949.55 ",33%,"$9,463.75 ",20%,"$9,409.41 ",US,1 Year
LRG TECH,PS-14-05,"PowerSentry Control System with: Sgl Battery Section: 45ah Battery Pack: Fixed Thermal Imaging Camera 640r: Edge Camera Recording License: On-board Cellular, WiFi, Ethernet","$15,997.50 ","$10,718.33 ",33%,"$12,759.91 ",20%,"$12,686.65 ",US,1 Year
