Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealers Discount from list, Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List, Proposed GSA Price (with IFF of .75%) ,Country of Origin,Warranty
LRG TECH,MPS-3400-15-001,"Commander 3400 Base System. 600 AH AGM BATT,  PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Camera Edge LIC,   Cellular Modem w/ WI-FI Access","$46,616.85 ","$31,077.90 ",33%,"$37,277.08 ",21%,"$36,997.50 ",USA,1 Year
LRG TECH,MPS-3400-15-002,"Commander 3400 Base System. 1200 AH AGM Batt Pack, Dome Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Camera Edge LIC,   Cellular Modem w/ WI-FI Access","$49,073.85 ","$32,715.90 ",33%,"$39,241.81 ",21%,"$38,947.50 ",USA,1 Year
LRG TECH,MPS-3400-15-003,"Commander 3400 Base System. 1200 AH AGM Batt Pack, Dome Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Camera Edge LIC,   Cellular Modem w/ WI-FI Access ","$53,066.10 ","$35,377.40 ",33%,"$42,434.21 ",21%,"$42,115.95 ",USA,1 Year
LRG TECH,MPS-3400-15-004,"Commander 3400 Base System. 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB","$55,042.20 ","$36,694.80 ",33%,"$44,014.39 ",21%,"$43,684.29 ",USA,1 Year
LRG TECH,MPS-3400-15-005,"Commander 3400 Base System. 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, 400W Solar System 3400 Kit","$59,267.70 ","$39,511.80 ",33%,"$47,393.31 ",21%,"$47,037.86 ",USA,1 Year
LRG TECH,MPS-3400-15-006,"Commander 3400 Base System. 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, 400W Solar System 3400 Kit","$60,631.20 ","$40,420.80 ",33%,"$48,483.63 ",21%,"$48,120.00 ",USA,1 Year
LRG TECH,MPS-3400-15-007,"Commander 3400 Base System. 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, 400W Solar System 3400 Kit","$62,437.95 ","$41,625.30 ",33%,"$49,928.39 ",21%,"$49,553.93 ",USA,1 Year
LRG TECH,MPS-3400-15-008,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB","$62,647.20 ","$41,764.80 ",33%,"$50,095.72 ",21%,"$49,720.00 ",USA,1 Year
LRG TECH,MPS-3400-15-009,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, 400W Solar System 3400 Kit","$66,872.70 ","$44,581.80 ",33%,"$53,474.63 ",21%,"$53,073.57 ",USA,1 Year
LRG TECH,MPS-3400-15-010,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Spare Tire, 400W Solar System 3400 Kit","$67,585.95 ","$45,057.30 ",33%,"$54,044.98 ",21%,"$53,639.64 ",USA,1 Year
LRG TECH,MPS-3400-15-011,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Spare Tire, Weather Station, 400W Solar System 3400 Kit","$69,192.45 ","$46,128.30 ",33%,"$55,329.61 ",21%,"$54,914.64 ",USA,1 Year
LRG TECH,MPS-3400-15-012,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Spare Tire, 400W Solar System 3400 Kit","$68,949.45 ","$45,966.30 ",33%,"$55,135.30 ",21%,"$54,721.79 ",USA,1 Year
LRG TECH,MPS-3400-15-013,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Spare Tire, Weather Station, 400W Solar System 3400 Kit","$73,987.20 ","$49,324.80 ",33%,"$59,163.73 ",21%,"$58,720.00 ",USA,1 Year
LRG TECH,MPS-3400-15-014,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, 3 PIR - w/ Optex 402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Single 30' Safety Ribbon Kit w/ Standards, Spare Tire, Weather Station, 400W Solar System 3400 Kit","$76,183.20 ","$50,788.80 ",33%,"$60,919.76 ",21%,"$60,462.86 ",USA,1 Year
LRG TECH,MPS-3400-15-015,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub, Additional Camera - SGL. Cam Arm,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, 3 PIR - w/ Optex 402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Single 30' Safety Ribbon Kit w/ Standards, Spare Tire, Weather Station, 400W Solar System 3400 Kit","$78,472.05 ","$52,314.70 ",33%,"$62,750.03 ",21%,"$62,279.40 ",USA,1 Year
LRG TECH,MPS-3400-15-016,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, All Weather Insulation Package, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12Vdc HIPOE 35W, Camera Mount w/ Hub, Additional Camera - SGL. Cam Arm,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3-500GB, LED Strobe Light Kit, 3 PIR - w/ Optex402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, 400W Solar System 3400 Kit","$83,932.29 ","$55,954.86 ",33%,"$67,116.30 ",21%,"$66,612.93 ",USA,1 Year
