Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Leviton,31LM1-CNN,HDX 12F OM3 MTP-LC,$573.56,$1.00 ,1%,$1.00 ,1%,$301.16,US,1 Year
Leviton,3GDKK-M01,[CUSTOM ITEM]: PCORD OM3 SLC-SLC 1M SLATE,$81.59,$1.00 ,1%,$1.00 ,1%,$46.25,US,1 Year
Leviton,3GDKK-M02,[CUSTOM ITEM]: PCORD OM3 SLC-SLC 2M SLATE,$84.68,$1.00 ,1%,$1.00 ,1%,$47.99,US,1 Year
Leviton,3GDKK-M03,[CUSTOM ITEM]: PCORD OM3 SLC-SLC 3M SL,$87.76,$1.00 ,1%,$1.00 ,1%,$49.75,US,1 Year
Leviton,3LDKK-M02,[CUSTOM ITEM]: PCORD OM3 SLC-SLC 2M BLUE,$84.68,$1.00 ,1%,$1.00 ,1%,$47.99,US,1 Year
Leviton,3LDKK-M03,[CUSTOM ITEM]: PCORD OM3 SLC-SLC 3M BL,$87.76,$1.00 ,1%,$1.00 ,1%,$49.75,US,1 Year
Leviton,3ODKK-M01,PCORD OM3 SLC-SLC 1M OR,$81.59,$1.00 ,1%,$1.00 ,1%,$55.85,US,1 Year
Leviton,3ODKK-M02,PCORD OM3 SLC-SLC 2M OR,$84.68,$1.00 ,1%,$1.00 ,1%,$57.96,US,1 Year
Leviton,3ODKK-M03,[CUSTOM ITEM]: PCORD OM3 SLC-SLC 3M OR,$87.76,$1.00 ,1%,$1.00 ,1%,$49.75,US,1 Year
Leviton,3RDKK-M01,PCORD OM3 SLC-SLC 1M RD,$81.59,$1.00 ,1%,$1.00 ,1%,$55.85,US,1 Year
Leviton,3RDKK-M02,PCORD OM3 SLC-SLC 2M RD,$84.68,$1.00 ,1%,$1.00 ,1%,$57.96,US,1 Year
Leviton,3RDKK-M03,[CUSTOM ITEM]: PCORD OM3 SLC-SLC 3M RD,$87.76,$1.00 ,1%,$1.00 ,1%,$49.75,US,1 Year
Leviton,3VDKK-M01,PCORD OM3 SLC-SLC 1M GN,$81.59,$1.00 ,1%,$1.00 ,1%,$55.85,US,1 Year
Leviton,3VDKK-M02,PCORD OM3 SLC-SLC 2M GN,$84.68,$1.00 ,1%,$1.00 ,1%,$57.96,US,1 Year
Leviton,3VDKK-M03,[CUSTOM ITEM]: PCORD OM3 SLC-SLC 3M GN,$87.76,$1.00 ,1%,$1.00 ,1%,$49.75,US,1 Year
Leviton,3YDKK-M01,PCORD OM3 SLC-SLC 1M YL,$81.59,$1.00 ,1%,$1.00 ,1%,$55.85,US,1 Year
Leviton,3YDKK-M02,PCORD OM3 SLC-SLC 2M YL,$84.68,$1.00 ,1%,$1.00 ,1%,$57.96,US,1 Year
Leviton,3YDKK-M03,[CUSTOM ITEM]: PCORD OM3 SLC-SLC 3M YL,$87.76,$1.00 ,1%,$1.00 ,1%,$49.75,US,1 Year
Leviton,40050-MCV,COVER SNAPON BLK 66 CL,$3.65,$1.00 ,1%,$1.00 ,1%,$2.07,US,1 Year
Leviton,40050-MH0,COVER HINGED BLK 66 OR,$4.56,$1.00 ,1%,$1.00 ,1%,$2.58,US,1 Year
Leviton,40050-MHG,COVER HINGED BLK 66 GY,$3.44,$1.00 ,1%,$1.00 ,1%,$1.96,US,1 Year
Leviton,40054-0DS,SPOOL WIRE DIST NO SCRW,$2.09,$1.00 ,1%,$1.00 ,1%,$1.19,US,1 Year
Leviton,40054-DSS,SPOOL WIRE DIST W/SCRW,$1.41,$1.00 ,1%,$1.00 ,1%,$0.81,US,1 Year
Leviton,40056-DSM,DESIG STRIP FOR M BLOCK,$0.95,$1.00 ,1%,$1.00 ,1%,$0.70,US,1 Year
Leviton,40066-0MR,BLK 66 SPLIT DEMAR 50PR,$38.68,$1.00 ,1%,$1.00 ,1%,$21.95,US,1 Year
Leviton,40066-0MW,CONN MBLOCK FEMALE 50PR,$33.51,$1.00 ,1%,$1.00 ,1%,$22.40,US,1 Year
Leviton,40066-M25,BLK 66 25PR,$22.51,$1.00 ,1%,$1.00 ,1%,$12.78,US,1 Year
Leviton,40066-M50,BLK 66 SPLIT 50PR,$13.54,$1.00 ,1%,$1.00 ,1%,$7.68,US,1 Year
Leviton,40066-MW2,BLK 66 SPLIT MF 50PR,$103.76,$1.00 ,1%,$1.00 ,1%,$58.89,US,1 Year
Leviton,40067-0BC,CLIP BRIDGE SA1 QTY 50,$11.89,$1.00 ,1%,$1.00 ,1%,$6.74,US,1 Year
Leviton,40070-MDP,"ADPT, ADAPTER MOD PLUG BREAKOUT",$23.41,$1.00 ,1%,$1.00 ,1%,$17.26,US,1 Year
Leviton,40072-0T2,ADAPTER MOD 2 POS 6P2C,$14.08,$1.00 ,1%,$1.00 ,1%,$9.41,US,1 Year
Leviton,40072-0T4,ADAPTER MOD 4 POS 6P4C,$14.59,$1.00 ,1%,$1.00 ,1%,$9.76,US,1 Year
Leviton,40072-0T6,ADAPTER MOD 6 POS 6P6C,$15.08,$1.00 ,1%,$1.00 ,1%,$10.08,US,1 Year
Leviton,40072-0T8,ADAPTER MOD 8 POS 8P8C,$15.81,$1.00 ,1%,$1.00 ,1%,$10.57,US,1 Year
Leviton,40089-00B,BRKT BLK 66 89B,$6.88,$1.00 ,1%,$1.00 ,1%,$3.90,US,1 Year
Leviton,40089-00D,BRKT MBLOCK 89D,$4.85,$1.00 ,1%,$1.00 ,1%,$2.75,US,1 Year
Leviton,40144-00I,DEC W/PLATE 2 6P4C IV,$3.89,$1.00 ,1%,$1.00 ,1%,$2.48,US,1 Year
Leviton,40144-00T,DEC W/PLATE 2 6P4C LA,$3.89,$1.00 ,1%,$1.00 ,1%,$2.48,US,1 Year
Leviton,40144-00W,DEC W/PLATE 2 6P4C WH,$3.89,$1.00 ,1%,$1.00 ,1%,$2.48,US,1 Year
Leviton,40149-00I,DEC W/PLATE 6P4C IV,$2.23,$1.00 ,1%,$1.00 ,1%,$1.42,US,1 Year
Leviton,40149-00T,DEC W/PLATE 6P4C LA,$2.23,$1.00 ,1%,$1.00 ,1%,$1.42,US,1 Year
Leviton,40149-00W,DEC W/PLATE 6P4C WH,$2.23,$1.00 ,1%,$1.00 ,1%,$1.42,US,1 Year
Leviton,40159-00I,DEC W/PLATE 6P4C F IV,$3.63,$1.00 ,1%,$1.00 ,1%,$2.30,US,1 Year
Leviton,40159-00T,DEC W/PLATE 6P4C F LA,$3.63,$1.00 ,1%,$1.00 ,1%,$2.30,US,1 Year
Leviton,40159-00W,DEC W/PLATE 6P4C F WH,$3.63,$1.00 ,1%,$1.00 ,1%,$2.30,US,1 Year
Leviton,40201-00I,JACK ROUND 6P4C IV,$2.81,$1.00 ,1%,$1.00 ,1%,$1.78,US,1 Year
Leviton,40214-00I,W/JACK SCRW TER 6P4C IV,$3.15,$1.00 ,1%,$1.00 ,1%,$2.08,US,1 Year
Leviton,40214-00W,W/JACK SCRW TER 6P4C WH,$3.15,$1.00 ,1%,$1.00 ,1%,$2.08,US,1 Year
Leviton,40226-00S,WJACK SC TERM 6P6C SS,$6.90,$1.00 ,1%,$1.00 ,1%,$4.55,US,1 Year
Leviton,40238-00W,WP 6P6C WH,$2.20,$1.00 ,1%,$1.00 ,1%,$1.65,US,1 Year
Leviton,40244-00I,WP 2X6P4C IV,$3.44,$1.00 ,1%,$1.00 ,1%,$2.27,US,1 Year
Leviton,40249-00I,WP 6P4C IV,$1.91,$1.00 ,1%,$1.00 ,1%,$1.44,US,1 Year
Leviton,40249-00T,W/PLATE 1 6P4C LA,$2.01,$1.00 ,1%,$1.00 ,1%,$1.46,US,1 Year
Leviton,40249-00W,WP 6P4C WH,$1.91,$1.00 ,1%,$1.00 ,1%,$1.44,US,1 Year
Leviton,40253-00I,W/JACK 110 6P4C IV,$3.44,$1.00 ,1%,$1.00 ,1%,$2.58,US,1 Year
Leviton,40253-00T,W/JACK 110 6P4C LA,$3.44,$1.00 ,1%,$1.00 ,1%,$2.58,US,1 Year
Leviton,40257-00I,W/JACK SCRW TER 6P4C IV,$3.44,$1.00 ,1%,$1.00 ,1%,$2.58,US,1 Year
Leviton,40257-00W,W/JACK SCRW TER 6P4C WH,$3.44,$1.00 ,1%,$1.00 ,1%,$2.58,US,1 Year
Leviton,40258-00W,WP 6P6C+FCONN WH,$3.26,$1.00 ,1%,$1.00 ,1%,$2.15,US,1 Year
Leviton,40259-00I,WP 6P4C FCONN IV,$3.26,$1.00 ,1%,$1.00 ,1%,$2.15,US,1 Year
Leviton,40259-00T,WP 6P4C FCONN LA,$3.26,$1.00 ,1%,$1.00 ,1%,$2.15,US,1 Year
Leviton,40259-00W,WP 6P4C FCONN WH,$3.26,$1.00 ,1%,$1.00 ,1%,$2.15,US,1 Year
Leviton,40278-00I,JACK SFMT 8P8C IV,$2.94,$1.00 ,1%,$1.00 ,1%,$1.94,US,1 Year
Leviton,40278-SBI,JACK SFMT 8P8C IV,$4.28,$1.00 ,1%,$1.00 ,1%,$2.83,US,1 Year
Leviton,40298-00I,JACK 635 8P8C DPLX IV,$8.35,$1.00 ,1%,$1.00 ,1%,$5.31,US,1 Year
Leviton,40298-SBI,JACK 635 8P8C DPX+SB IV,$9.03,$1.00 ,1%,$1.00 ,1%,$5.74,US,1 Year
Leviton,40539-0MI,WP MID FCONN IV,$1.35,$1.00 ,1%,$1.00 ,1%,$1.01,US,1 Year
Leviton,40539-0MT,WP FCONN MID LA,$1.35,$1.00 ,1%,$1.00 ,1%,$1.01,US,1 Year
Leviton,40539-0MW,WP FCONN MID WH,$1.35,$1.00 ,1%,$1.00 ,1%,$1.01,US,1 Year
Leviton,40539-CMB,WP MID 6P4C F BN,$3.69,$1.00 ,1%,$1.00 ,1%,$2.43,US,1 Year
Leviton,40539-CMI,WP MID 6P4C F IV,$3.69,$1.00 ,1%,$1.00 ,1%,$2.43,US,1 Year
