Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (without IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Leviton, 40056-DSM, DESIG STRIP BLK 66     ,$1.85 ,$0.89 ,52%,$1.09 ,41%,$1.09 ,US,1 Yr
Leviton, 40066-0MW, BLK 66 SPLIT F 50PR    ,$56.81 ,$0.89 ,98%,$1.09 ,98%,$1.09 ,US,1 Yr
Leviton, 40859-00I, INS BLANK IV           ,$2.26 ,$0.89 ,61%,$1.09 ,52%,$1.09 ,US,1 Yr
Leviton, 40859-00W, INS BLANK WH           ,$2.26 ,$0.89 ,61%,$1.09 ,52%,$1.09 ,US,1 Yr
Leviton, 41080-LEB, LABELS JACK ID BLK LTRS,$5.80 ,$0.89 ,85%,$1.09 ,81%,$1.09 ,US,1 Yr
Leviton, 41084-SBF, ADPT QP ST-MM BN       ,$11.39 ,$0.89 ,92%,$1.09 ,90%,$1.09 ,US,1 Yr
Leviton, 41084-SEF, ADPT QP ST-MM BK       ,$11.39 ,$0.89 ,92%,$1.09 ,90%,$1.09 ,US,1 Yr
Leviton, 41084-SEZ, ADPT QP ST-SM BK       ,$18.89 ,$0.89 ,95%,$1.09 ,94%,$1.09 ,US,1 Yr
Leviton, 41084-SGF, ADPT QP ST-MM GY       ,$11.39 ,$0.89 ,92%,$1.09 ,90%,$1.09 ,US,1 Yr
Leviton, 41084-SGZ, ADPT QP ST-SM GY       ,$18.89 ,$0.89 ,95%,$1.09 ,94%,$1.09 ,US,1 Yr
Leviton, 41084-SIF, ADPT QP ST-MM IV       ,$11.39 ,$0.89 ,92%,$1.09 ,90%,$1.09 ,US,1 Yr
Leviton, 41084-SIZ, ADPT QP ST-SM IV       ,$18.89 ,$0.89 ,95%,$1.09 ,94%,$1.09 ,US,1 Yr
Leviton, 41084-SWF, ADPT QP ST-MM WH       ,$11.39 ,$0.89 ,92%,$1.09 ,90%,$1.09 ,US,1 Yr
Leviton, 41084-SWZ, ADPT QP ST-SM WH       ,$18.89 ,$0.89 ,95%,$1.09 ,94%,$1.09 ,US,1 Yr
Leviton, 41188-SM2," CABLE MGR HORIZ 19""    ",$67.34 ,$0.89 ,99%,$1.09 ,98%,$1.09 ,US,1 Yr
Leviton, 41291-1BE, MOS 1U BLANK BK        ,$1.63 ,$0.89 ,45%,$1.09 ,33%,$1.09 ,US,1 Yr
Leviton, 41291-1BG, MOS 1U BLANK GY        ,$1.63 ,$0.89 ,45%,$1.09 ,33%,$1.09 ,US,1 Yr
Leviton, 41291-1BI, MOS 1U BLANK IV        ,$1.63 ,$0.89 ,45%,$1.09 ,33%,$1.09 ,US,1 Yr
Leviton, 41291-1BT, MOS 1U BLANK LA        ,$1.63 ,$0.89 ,45%,$1.09 ,33%,$1.09 ,US,1 Yr
Leviton, 41291-1BW, MOS 1U BLANK WH        ,$1.63 ,$0.89 ,45%,$1.09 ,33%,$1.09 ,US,1 Yr
Leviton, 41291-1ME, ADPT 1PORT 1UNIT BK    ,$2.39 ,$0.89 ,63%,$1.09 ,55%,$1.09 ,US,1 Yr
