Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Leviton,31LM1-CNN,"EVOLVE 12F OM3 MTP-LCC""",$573.56 ,$245.10,1%,$1 ,1%,$298.90,US,1 Year
Leviton,40050-MCV,COVER SNAPON BLK 66 CL ,$3.65 ,$1.75,1%,$1 ,1%,$2.13,US,1 Year
Leviton,40050-MH0,COVER HINGED BLK 66 OR ,$4.56 ,$2.18,1%,$1 ,1%,$2.66,US,1 Year
Leviton,40050-MHG,COVER HINGED BLK 66 GY ,$3.44 ,$1.65,1%,$1 ,1%,$2.01,US,1 Year
Leviton,40054-0DS,SPOOL WIRE DIST NO SCRW,$2.09 ,$1.00,1%,$1 ,1%,$1.22,US,1 Year
Leviton,40054-DSS,SPOOL WIRE DIST W/SCRW ,$1.41 ,$0.68,1%,$1 ,1%,$0.83,US,1 Year
Leviton,40056-DSM,DESIG STRIP BLK 66     ,$1.85 ,$0.89,1%,$1 ,1%,$1.09,US,1 Year
Leviton,40066-0MR,BLK 66 SPLIT DEMAR 50PR,$38.68 ,$18.52,1%,$1 ,1%,$22.59,US,1 Year
Leviton,40066-0MW,BLK 66 SPLIT F 50PR    ,$56.81 ,$27.20,1%,$1 ,1%,$33.17,US,1 Year
Leviton,40066-M25,BLK 66 25PR            ,$22.51 ,$10.78,1%,$1 ,1%,$13.15,US,1 Year
Leviton,40066-M50,BLK 66 SPLIT 50PR      ,$13.54 ,$6.48,1%,$1 ,1%,$7.90,US,1 Year
Leviton,40066-MW2,BLK 66 SPLIT MF 50PR   ,$103.76 ,$49.68,1%,$1 ,1%,$60.59,US,1 Year
Leviton,40067-0BC,CLIP BRIDGE SA1 QTY 50 ,$11.89 ,$5.69,1%,$1 ,1%,$6.94,US,1 Year
Leviton,40070-MDP,BREAKOUT ADAPTER       ,$24.24 ,$14.78,1%,$1 ,1%,$18.02,US,1 Year
Leviton,40072-0T2,ADPT MOD 2POS 6P2C     ,$15.16 ,$7.26,1%,$1 ,1%,$8.85,US,1 Year
Leviton,40072-0T6,ADPT MOD 6POS 6P6C     ,$16.25 ,$7.78,1%,$1 ,1%,$9.49,US,1 Year
Leviton,40089-00B,BRKT BLK 66 89B        ,$6.88 ,$3.29,1%,$1 ,1%,$4.01,US,1 Year
Leviton,40089-00D,BRKT MBLOCK 89D        ,$4.85 ,$2.32,1%,$1 ,1%,$2.83,US,1 Year
Leviton,40144-00I,DEC W/PLATE 2 6P4C IV  ,$3.89 ,$2.09,1%,$1 ,1%,$2.55,US,1 Year
Leviton,40144-00T,DEC W/PLATE 2 6P4C LA  ,$3.89 ,$2.09,1%,$1 ,1%,$2.55,US,1 Year
Leviton,40144-00W,DEC W/PLATE 2 6P4C WH  ,$3.89 ,$2.09,1%,$1 ,1%,$2.55,US,1 Year
Leviton,40149-00I,DEC W/PLATE 6P4C IV    ,$2.23 ,$1.20,1%,$1 ,1%,$1.46,US,1 Year
Leviton,40149-00T,DEC W/PLATE 6P4C LA    ,$2.23 ,$1.20,1%,$1 ,1%,$1.46,US,1 Year
Leviton,40149-00W,DEC W/PLATE 6P4C WH    ,$2.23 ,$1.20,1%,$1 ,1%,$1.46,US,1 Year
Leviton,40159-00I,DEC W/PLATE 6P4C F IV  ,$3.63 ,$1.94,1%,$1 ,1%,$2.37,US,1 Year
Leviton,40159-00T,DEC W/PLATE 6P4C F LA  ,$3.63 ,$1.94,1%,$1 ,1%,$2.37,US,1 Year
Leviton,40159-00W,DEC W/PLATE 6P4C F WH  ,$3.63 ,$1.94,1%,$1 ,1%,$2.37,US,1 Year
Leviton,40201-00I,JACK ROUND 6P4C IV     ,$2.81 ,$1.50,1%,$1 ,1%,$1.83,US,1 Year
Leviton,40249-00T,W/PLATE 1 6P4C LA      ,$2.01 ,$1.08,1%,$1 ,1%,$1.32,US,1 Year
Leviton,40298-00I,JACK 635 8P8C DPLX IV  ,$8.35 ,$4.48,1%,$1 ,1%,$5.46,US,1 Year
Leviton,40298-SBI,JACK 635 8P8C DPX+SB IV,$9.03 ,$4.84,1%,$1 ,1%,$5.90,US,1 Year
Leviton,40644-00I,DEC INSERT 2 6P4C IV   ,$3.45 ,$1.85,1%,$1 ,1%,$2.26,US,1 Year
