Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
BERK-TEK,10032026,"LANMark 1000 4 pair CAT6, CAT 6, CATEGORY 6 COPPER CABLE, Tek Pak Box, Plenum, Gray",$740.00,0,0,$454.63,0,0,US,1 Year
BERK-TEK,10032060,"LANMark 350 4pair Enhanced CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Plenum, Yellow",$440.00,0,0,$270.32,0,0,US,1 Year
BERK-TEK,10032065,"LANMark 350 4pair Enhanced CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Plenum, Blue",$440.00,0,0,$270.32,0,0,US,1 Year
BERK-TEK,10032072,"LANMark 350 4pair Enhanced CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Plenum, White",$440.00,0,0,$270.32,0,0,US,1 Year
BERK-TEK,10032079,"LANMark 350 4pair Enhanced CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Plenum, Gray",$440.00,0,0,$270.32,0,0,US,1 Year
BERK-TEK,10032086,"LANMark 350 4pair Enhanced CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Plenum, Green",$440.00,0,0,$270.32,0,0,US,1 Year
BERK-TEK,10032092,"LANMark 1000 4 pair CAT6, CAT 6, CATEGORY 6 COPPER CABLE, Tek Pak Box, Plenum, White",$740.00,0,0,$454.63,0,0,US,1 Year
BERK-TEK,10032094,"LANMark 1000 4 pair CAT6, CAT 6, CATEGORY 6 COPPER CABLE, Tek Pak Box, Plenum, Blue",$740.00,0,0,$454.63,0,0,US,1 Year
BERK-TEK,10032097,"LANMark 1000 4 pair CAT6, CAT 6, CATEGORY 6 COPPER CABLE, Tek Pak Box, Plenum, Green",$740.00,0,0,$454.63,0,0,US,1 Year
BERK-TEK,10032207,"Hyper Plus 5e 4pair CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Plenum, Gray",$344.00,0,0,$211.34,0,0,US,1 Year
BERK-TEK,10032223,"Hyper Plus 5e 4pair CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Plenum, White",$344.00,0,0,$211.34,0,0,US,1 Year
BERK-TEK,10032227,"Hyper Plus 5e 4pair CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Plenum, Blue",$344.00,0,0,$211.34,0,0,US,1 Year
BERK-TEK,10032235,"Hyper Plus 5e 4pair CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Plenum, Yellow",$344.00,0,0,$211.34,0,0,US,1 Year
BERK-TEK,10032419,"LANMark 350 4pair Enhanced CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Riser Yellow",$218.00,0,0,$133.93,0,0,US,1 Year
BERK-TEK,10032426,"LANMark 350 4pair Enhanced CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Riser Blue",$218.00,0,0,$133.93,0,0,US,1 Year
BERK-TEK,10032428,"LANMark 350 4pair Enhanced CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Riser Green",$218.00,0,0,$133.93,0,0,US,1 Year
BERK-TEK,10032434,"LANMark 350 4pair Enhanced CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Riser White",$218.00,0,0,$133.93,0,0,US,1 Year
BERK-TEK,10032447,"LANMark 350 4pair Enhanced CAT5E, CAT 5E, CATEGORY 5E COPPER CABLE, Tek Pak Box, Riser Gray",$218.00,0,0,$133.93,0,0,US,1 Year
BERK-TEK,10032452,"LANMark 1000 4 pair CAT6, CAT 6, CATEGORY 6 COPPER CABLE, Tek Pak Box, Riser, Gray",$320.00,0,0,$196.60,0,0,US,1 Year
BERK-TEK,10032455,"LANMark 1000 4 pair CAT6, CAT 6, CATEGORY 6 COPPER CABLE, Tek Pak Box, Riser, Blue",$320.00,0,0,$196.60,0,0,US,1 Year
BERK-TEK,10032459,"LANMark 1000 4 pair CAT6, CAT 6, CATEGORY 6 COPPER CABLE, Tek Pak Box, Riser, White",$320.00,0,0,$196.60,0,0,US,1 Year
BERK-TEK,10032461,"LANMark 1000 4 pair CAT6, CAT 6, CATEGORY 6 COPPER CABLE, Tek Pak Box, Riser, Yellow",$320.00,0,0,$196.60,0,0,US,1 Year
