Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Ortronics,AJCA,"ANTIOXIDANT, ALUMINUM, 1/2 OZ.",$25.76 ,$12.88 ,50%,$15.83 ,39%,$15.71 ,US,1 Year
Ortronics,AJCA8,"ANTIOXIDANT, ALUMINUM, 8 OZ.",$20.14 ,$10.07 ,50%,$12.37 ,39%,$12.28 ,US,1 Year
Ortronics,AJCC,"ANTIOXIDANT, COPPER, 1/2 OZ.",$26.92 ,$13.46 ,50%,$16.54 ,39%,$16.41 ,US,1 Year
Ortronics,AJCC8,"ANTIOXIDANT, COPPER, 8 OZ.",$23.00 ,$11.50 ,50%,$14.13 ,39%,$14.02 ,US,1 Year
Ortronics,AW8X25C-610,PRETERM WW BLOCK,$592.00 ,$296.00 ,50%,$363.70 ,39%,$360.98 ,MX,1 Year
Ortronics,BCGFMC3X9,AIR GUARD FLUSH MOUNT COVER,$29.42 ,$14.71 ,50%,$18.07 ,39%,$17.94 ,US,1 Year
Ortronics,BCGFME5X7,AIRGUARD EXTREME BRSH CBL GROM,$238.38 ,$119.19 ,50%,$146.45 ,39%,$145.35 ,US,1 Year
Ortronics,BCGFM3X9,AIR GUARD BRUSH CABLE GROMMET,$181.60 ,$90.80 ,50%,$111.57 ,39%,$110.73 ,US,1 Year
Ortronics,BCGSM6X7,AIR GUARD BRUSH CABLE GROMMET,$208.86 ,$104.43 ,50%,$128.32 ,39%,$127.35 ,US,1 Year
Ortronics,BFPA-1RU,"BLANK FILLER PANEL, ANGLED,1RU",$63.26 ,$31.63 ,50%,$38.86 ,39%,$38.57 ,US,1 Year
Ortronics,BFPA-2RU,"BLANK FILLER PANEL, ANGLED,2RU",$75.86 ,$37.93 ,50%,$46.61 ,39%,$46.26 ,US,1 Year
Ortronics,BFPC-1RU,"BLANK FILLER PANEL, CURVED,1RU",$68.30 ,$34.15 ,50%,$41.96 ,39%,$41.65 ,US,1 Year
Ortronics,BFPT-1RU-10,TOOL LESS SNAP-IN FILLER PANEL,$97.34 ,$48.67 ,50%,$59.80 ,39%,$59.35 ,TW,1 Year
Ortronics,BFPT-1RU-10-W,TOOL LESS SNAP-IN FILLER PANEL,$97.34 ,$48.67 ,50%,$59.80 ,39%,$59.35 ,TW,1 Year
Ortronics,BFPT-2RU-10,TOOL LESS SNAP-IN FILLER PANEL,$129.78 ,$64.89 ,50%,$79.73 ,39%,$79.13 ,TW,1 Year
Ortronics,BFPT-2RU-10-W,TOOL LESS SNAP-IN FILLER PANEL,$129.78 ,$64.89 ,50%,$79.73 ,39%,$79.13 ,TW,1 Year
Ortronics,CA-93,HOMACO CONCRETE FLOOR ANCHORS,$5.02 ,$2.51 ,50%,$3.08 ,39%,$3.06 ,US,1 Year
Ortronics,CB-93-6,HOMACO CABLE BRACKET,$8.10 ,$4.05 ,50%,$4.98 ,39%,$4.94 ,US,1 Year
Ortronics,CB-93-6B,HOMACO CABLE BRACKET,$8.10 ,$4.05 ,50%,$4.98 ,39%,$4.94 ,US,1 Year
Ortronics,CB-93-7,HOMACO CABLE BRACKET,$8.40 ,$4.20 ,50%,$5.16 ,39%,$5.12 ,US,1 Year
Ortronics,CB-93-7B,HOMACO CABLE BRACKET,$8.40 ,$4.20 ,50%,$5.16 ,39%,$5.12 ,US,1 Year
Ortronics,CB-93-8,HOMACO CABLE BRACKET,$8.74 ,$4.37 ,50%,$5.37 ,39%,$5.33 ,US,1 Year
Ortronics,CB-93-8B,HOMACO CABLE BRACKET,$8.74 ,$4.37 ,50%,$5.37 ,39%,$5.33 ,US,1 Year
Ortronics,CF-12B,HOMACO TR CABLE FENCE,$86.04 ,$43.02 ,50%,$52.86 ,39%,$52.46 ,US,1 Year
Ortronics,CF-12D,HOMACO TR CABLE FENCE,$86.04 ,$43.02 ,50%,$52.86 ,39%,$52.46 ,US,1 Year
Ortronics,CF-6B,HOMACO TR CABLE FENCE,$64.50 ,$32.25 ,50%,$39.63 ,39%,$39.33 ,US,1 Year
Ortronics,CF-6D,HOMACO TR CABLE FENCE,$64.50 ,$32.25 ,50%,$39.63 ,39%,$39.33 ,US,1 Year
Ortronics,CFTRC-12,HOMACO TRT CABLE FENCE,$125.94 ,$62.97 ,50%,$77.37 ,39%,$76.79 ,US,1 Year
Ortronics,CFTRC-12B,HOMACO TRT CABLE FENCE,$133.24 ,$66.62 ,50%,$81.86 ,39%,$81.24 ,US,1 Year
Ortronics,CFTRC-6,HOMACO TRT CABLE FENCE,$107.50 ,$53.75 ,50%,$66.04 ,39%,$65.55 ,US,1 Year
Ortronics,CFTRC-6B,HOMACO TRT CABLE FENCE,$107.50 ,$53.75 ,50%,$66.04 ,39%,$65.55 ,US,1 Year
Ortronics,CL2LB10C,"COMPRESSION LUG, #1/0, PINK",$127.40 ,$63.70 ,50%,$78.27 ,39%,$77.68 ,US,1 Year
Ortronics,CL2LB2A,"COMPRESSION LUG, #2, BROWN",$84.28 ,$42.14 ,50%,$51.78 ,39%,$51.39 ,US,1 Year
Ortronics,CL2LB2C,"COMPRESSION LUG, #2, BROWN",$80.90 ,$40.45 ,50%,$49.70 ,39%,$49.33 ,US,1 Year
Ortronics,CL2LB20C,"COMPRESSION LUG, #2/0, BLACK",$106.20 ,$53.10 ,50%,$65.25 ,39%,$64.76 ,US,1 Year
Ortronics,CL2LB30C,"COMPRESSION LUG,#3/0, ORANGE",$140.40 ,$70.20 ,50%,$86.26 ,39%,$85.61 ,US,1 Year
Ortronics,CL2LB40C,"COMPRESSION LUG, #4/0, PURPLE",$165.92 ,$82.96 ,50%,$101.94 ,39%,$101.17 ,US,1 Year
Ortronics,CL2LB6A,"COMPRESSION LUG,#6,BLUE",$27.74 ,$13.87 ,50%,$17.04 ,39%,$16.91 ,US,1 Year
Ortronics,CL2LB6B,"COMPRESSION LUG, #6, BLUE",$54.20 ,$27.10 ,50%,$33.30 ,39%,$33.05 ,US,1 Year
