Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealer's Discount (% from list),Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
ORTRONICS,20300121,DUST COVER FOR MODULAR JACKS, $4.42 , $2.21 ,50%, $2.70 ,39%, $2.72 ,USA,1 Year
ORTRONICS,20300155,"SHUTTER,DATA,BLACK", $27.16 , $13.58 ,50%, $16.56 ,39%, $16.69 ,USA,1 Year
ORTRONICS,20300156,"SHUTTER,BLANK,BLACK", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20300192,"RJ45K INLINE COUPLER 1-1,CAT5e", $11.56 , $5.78 ,50%, $7.05 ,39%, $7.10 ,USA,1 Year
ORTRONICS,20309154,"SHUTTER,PHONE,FOG WHITE", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20309155,"SHUTTER,DATA,FOG WHITE", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20309156,"SHUTTER,BLANK,FOG WHITE", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20322154,"SHUTTER,PHONE,LT RED", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20322155,"SHUTTER,DATA,LT RED", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20322156,"SHUTTER,BLANK,LT RED", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20323155,"SHUTTER,DATA,LT ORANGE", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20324154,"SHUTTER,PHONE,LT YELLOW", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20324155,"SHUTTER,DATA,LT YELLOW", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20324156,"SHUTTER,BLANK,LT YELLOW", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20325154,"SHUTTER,PHONE,LT GREEN", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20325155,"SHUTTER,DATA,LT GREEN", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
ORTRONICS,20325156,"SHUTTER,BLANK,LT GREEN", $27.72 , $13.86 ,50%, $16.90 ,39%, $17.03 ,USA,1 Year
