Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealer's Discount (% from list),Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
ORTRONICS,20300121,DUST COVER FOR MODULAR JACKS,$4.42 ,$2.21 ,50%,$2.72 ,39%,$2.70 ,USA,1 Year
ORTRONICS,20300155,"SHUTTER,DATA,BLACK",$27.16 ,$13.58 ,50%,$16.69 ,39%,$16.56 ,USA,1 Year
ORTRONICS,20300156,"SHUTTER,BLANK,BLACK",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20300192,"RJ45K INLINE COUPLER 1-1,CAT5e",$11.56 ,$5.78 ,50%,$7.10 ,39%,$7.05 ,USA,1 Year
ORTRONICS,20309154,"SHUTTER,PHONE,FOG WHITE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20309155,"SHUTTER,DATA,FOG WHITE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20309156,"SHUTTER,BLANK,FOG WHITE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20322154,"SHUTTER,PHONE,LT RED",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20322155,"SHUTTER,DATA,LT RED",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20322156,"SHUTTER,BLANK,LT RED",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20323155,"SHUTTER,DATA,LT ORANGE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20324154,"SHUTTER,PHONE,LT YELLOW",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20324155,"SHUTTER,DATA,LT YELLOW",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20324156,"SHUTTER,BLANK,LT YELLOW",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20325154,"SHUTTER,PHONE,LT GREEN",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20325155,"SHUTTER,DATA,LT GREEN",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20325156,"SHUTTER,BLANK,LT GREEN",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20326154,"SHUTTER,PHONE,LT BLUE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20326155,"SHUTTER,DATA,LT BLUE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20326156,"SHUTTER,BLANK,LT BLUE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20327155,"SHUTTER,DATA,PURPLE",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20328155,"SHUTTER,DATA,LT GRAY",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20328156,"SHUTTER,BLANK,LT GRAY",$27.72 ,$13.86 ,50%,$17.03 ,39%,$16.90 ,USA,1 Year
ORTRONICS,20500043,"SLEEVES,HEAT SHRINK,40MM,PKG50",$77.98 ,$38.99 ,50%,$47.91 ,39%,$47.55 ,USA,1 Year
ORTRONICS,20500130,HEAT SHRINK SLEEVES 60MM,$105.94 ,$52.97 ,50%,$65.09 ,39%,$64.60 ,USA,1 Year
ORTRONICS,20500236,"KIT,ACCESSORY,ST",$2.38 ,$1.19 ,50%,$1.46 ,39%,$1.45 ,USA,1 Year
ORTRONICS,20500237,"KIT,ACCESSORY,SC",$2.38 ,$1.19 ,50%,$1.46 ,39%,$1.45 ,USA,1 Year
ORTRONICS,20500267,"CONV KIT,2MM & 3MM CABLE",$2.38 ,$1.19 ,50%,$1.46 ,39%,$1.45 ,USA,1 Year
ORTRONICS,20500329,"LC DUPLEX CLIP KIT, BEIGE",$6.56 ,$3.28 ,50%,$4.03 ,39%,$4.00 ,USA,1 Year
ORTRONICS,20500330,"LC DUPLEX KIT, AQUA",$6.56 ,$3.28 ,50%,$4.03 ,39%,$4.00 ,USA,1 Year
ORTRONICS,20500331,"LC DUPLEX CLIP KIT, BLUE",$6.56 ,$3.28 ,50%,$4.03 ,39%,$4.00 ,USA,1 Year
ORTRONICS,30200007,"110 BLOCK,300 PAIR W/LEGS",$49.98 ,$24.99 ,50%,$30.71 ,39%,$30.48 ,USA,1 Year
ORTRONICS,30200020,110PB2-300FT,$300.82 ,$150.41 ,50%,$184.81 ,39%,$183.43 ,USA,1 Year
ORTRONICS,30200022,110DW4-300 BLOCKS W/O LEGS,$51.52 ,$25.76 ,50%,$31.65 ,39%,$31.41 ,USA,1 Year
ORTRONICS,30200024,110PA2-900FT  110 BACKBOARD,$690.18 ,$345.09 ,50%,$424.02 ,39%,$420.84 ,USA,1 Year
ORTRONICS,30200026,110PB2-900FT 110 BACKBOARD,$626.46 ,$313.23 ,50%,$384.87 ,39%,$381.99 ,USA,1 Year
ORTRONICS,30200095,110AA2-300FT,$122.44 ,$61.22 ,50%,$75.22 ,39%,$74.66 ,USA,1 Year
ORTRONICS,30200108,"KIT,CONNECTOR,110C3,QTY 10",$9.32 ,$4.66 ,50%,$5.73 ,39%,$5.68 ,USA,1 Year
ORTRONICS,30200109,"KIT,CONNECTOR,110C4,QTY10",$9.82 ,$4.91 ,50%,$6.03 ,39%,$5.99 ,USA,1 Year
ORTRONICS,30200110,"KIT CONNECTOR,110C5,QTY10",$10.88 ,$5.44 ,50%,$6.68 ,39%,$6.63 ,USA,1 Year
ORTRONICS,30200116,110AA2-100FT,$57.76 ,$28.88 ,50%,$35.49 ,39%,$35.22 ,USA,1 Year
ORTRONICS,30200132,110 900PR BACKBOARD KIT,$389.32 ,$194.66 ,50%,$239.18 ,39%,$237.39 ,USA,1 Year
ORTRONICS,30200139,"TROUGH,110 W/O LEGS",$10.34 ,$5.17 ,50%,$6.35 ,39%,$6.30 ,USA,1 Year
ORTRONICS,30200140,"TROUGH,110 W/LEGS",$10.90 ,$5.45 ,50%,$6.70 ,39%,$6.65 ,USA,1 Year
ORTRONICS,30200143,"BLOCK 110,100PR W/O LEGS",$18.92 ,$9.46 ,50%,$11.62 ,39%,$11.54 ,USA,1 Year
ORTRONICS,30203461,110PA2-300FT,$293.16 ,$146.58 ,50%,$180.11 ,39%,$178.76 ,USA,1 Year
ORTRONICS,30203506,"110AB2-100FT,KIT",$46.24 ,$23.12 ,50%,$28.41 ,39%,$28.20 ,USA,1 Year
ORTRONICS,30203519,"110AB2-300FT,KIT",$108.44 ,$54.22 ,50%,$66.62 ,39%,$66.12 ,USA,1 Year
ORTRONICS,30600148,600 PAIR BRACKET,$228.22 ,$114.11 ,50%,$140.21 ,39%,$139.16 ,USA,1 Year
ORTRONICS,30600150,"BRACKET,200PAIR,110 RACK MNT",$63.08 ,$31.54 ,50%,$38.75 ,39%,$38.46 ,USA,1 Year
ORTRONICS,30600159,"BRKT,110,600PR RACK MOUNT KIT",$93.70 ,$46.85 ,50%,$57.57 ,39%,$57.13 ,USA,1 Year
ORTRONICS,30600166,"110, 900PR RACK MNT BRKT KIT",$228.22 ,$114.11 ,50%,$140.21 ,39%,$139.16 ,USA,1 Year
ORTRONICS,30600167,"BRACKET,200PAIR,110 RACK MNT",$62.46 ,$31.23 ,50%,$38.37 ,39%,$38.09 ,USA,1 Year
ORTRONICS,40300010,"HSG,EXTENSION,2.75X4.5X0.90",$2.62 ,$1.31 ,50%,$1.61 ,39%,$1.60 ,USA,1 Year
ORTRONICS,40300011,"SII,FP,STD,SG,PC,2.75X4.5X.75",$3.36 ,$1.68 ,50%,$2.06 ,39%,$2.05 ,USA,1 Year
ORTRONICS,40300023,"HSG,SII,BLANK,180,1.5UNIT",$0.80 ,$0.40 ,50%,$0.49 ,39%,$0.49 ,USA,1 Year
ORTRONICS,40300061,"SMB,SG,PLASTIC",$6.98 ,$3.49 ,50%,$4.29 ,39%,$4.26 ,USA,1 Year
ORTRONICS,40300100,"JACK MARKER,VOICE,BLACK",$7.86 ,$3.93 ,50%,$4.83 ,39%,$4.79 ,USA,1 Year
ORTRONICS,40300141,JACK MARKER VOICE & DATA 1-6,$1.06 ,$0.53 ,50%,$0.65 ,39%,$0.65 ,USA,1 Year
ORTRONICS,40300144,"HSG,SII,BLANK,180,1/2 UNIT",$0.70 ,$0.35 ,50%,$0.43 ,39%,$0.43 ,USA,1 Year
ORTRONICS,40300158,"FP,SII,STD,SG,PC,2.75X4.5X.5",$2.52 ,$1.26 ,50%,$1.55 ,39%,$1.54 ,USA,1 Year
ORTRONICS,40300159,"FP,SII,STD,DG,PC,4.5X4.5",$6.40 ,$3.20 ,50%,$3.93 ,39%,$3.90 ,USA,1 Year
ORTRONICS,40300164,"HSG,SII,BLANK,180,1UNIT",$0.54 ,$0.27 ,50%,$0.33 ,39%,$0.33 ,USA,1 Year
ORTRONICS,40300167,"BEZEL,FURNITURE,.34""DEEP",$2.20 ,$1.10 ,50%,$1.35 ,39%,$1.34 ,USA,1 Year
