Manufacturer,MFR Part #,Product Description,Retail / MSRP, Dealer Actual Cost ,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Mobile Pro,MPS-3400-15-001,"Commander 3400 Base System. 600 AH AGM BATT, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Camera Edge LIC, Cradlepoint Cellular Modem w/ WI-FI Access","$46,616.85 ","$31,077.90 ",33%,"$37,899.88 ",19%,"$38,186.28 ",USA,1 Year
Mobile Pro,MPS-3400-15-002,"Commander 3400 Base System. 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Camera Edge LIC, Cradlepoint Cellular Modem w/ WI-FI Access","$49,073.85 ","$32,715.90 ",33%,"$39,897.44 ",19%,"$40,198.93 ",USA,1 Year
Mobile Pro,MPS-3400-15-003,"Commander 3400 Base System. 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Camera Edge LIC, Cradlepoint Cellular Modem w/ WI-FI Access ","$53,066.10 ","$35,377.40 ",33%,"$43,143.17 ",19%,"$43,469.19 ",USA,1 Year
Mobile Pro,MPS-3400-15-004,"Commander 3400 Base System. 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB","$55,042.20 ","$36,694.80 ",33%,"$44,749.76 ",19%,"$45,087.92 ",USA,1 Year
Mobile Pro,MPS-3400-15-005,"Commander 3400 Base System. 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, 400W Solar System 3400 Kit","$59,267.70 ","$39,511.80 ",33%,"$48,185.12 ",19%,"$48,549.24 ",USA,1 Year
Mobile Pro,MPS-3400-15-006,"Commander 3400 Base System. 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, 400W Solar System 3400 Kit","$60,631.20 ","$40,420.80 ",33%,"$49,293.66 ",19%,"$49,666.15 ",USA,1 Year
Mobile Pro,MPS-3400-15-007,"Commander 3400 Base System. 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, 400W Solar System 3400 Kit","$62,437.95 ","$41,625.30 ",33%,"$50,762.56 ",19%,"$51,146.16 ",USA,1 Year
Mobile Pro,MPS-3400-15-008,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB","$62,647.20 ","$41,764.80 ",33%,"$50,932.68 ",19%,"$51,317.56 ",USA,1 Year
Mobile Pro,MPS-3400-15-009,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, 400W Solar System 3400 Kit","$66,872.70 ","$44,581.80 ",33%,"$54,368.05 ",19%,"$54,778.89 ",USA,1 Year
Mobile Pro,MPS-3400-15-010,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Spare Tire 3400 Only, 400W Solar System 3400 Kit","$67,585.95 ","$45,057.30 ",33%,"$54,947.93 ",19%,"$55,363.15 ",USA,1 Year
Mobile Pro,MPS-3400-15-011,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Spare Tire 3400 Only, Weather Station, 400W Solar System 3400 Kit","$69,192.45 ","$46,128.30 ",33%,"$56,254.02 ",19%,"$56,679.12 ",USA,1 Year
Mobile Pro,MPS-3400-15-012,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Spare Tire 3400 Only, 400W Solar System 3400 Kit","$68,949.45 ","$45,966.30 ",33%,"$56,056.46 ",19%,"$56,480.06 ",USA,1 Year
Mobile Pro,MPS-3400-15-013,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Spare Tire 3400 Only, Weather Station, 400W Solar System 3400 Kit","$73,987.20 ","$49,324.80 ",33%,"$60,152.20 ",19%,"$60,606.75 ",USA,1 Year
Mobile Pro,MPS-3400-15-014,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, 3 PIR - w/ Optex 402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Single 30' Safety Ribbon Kit w/ Standards, Spare Tire 3400 Only, Weather Station, 400W Solar System 3400 Kit","$76,183.20 ","$50,788.80 ",33%,"$61,937.56 ",19%,"$62,405.60 ",USA,1 Year
Mobile Pro,MPS-3400-15-015,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, Axis Dome Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Additional Camera - SGL. Cam Arm, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, 3 PIR - w/ Optex 402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Single 30' Safety Ribbon Kit w/ Standards, Spare Tire 3400 Only, Weather Station, 400W Solar System 3400 Kit","$78,472.05 ","$52,314.70 ",33%,"$63,798.41 ",19%,"$64,280.52 ",USA,1 Year
Mobile Pro,MPS-3400-15-016,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, All Weather Insulation Package, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, Axis Dome Camera 2.0 MP 1080P, 12Vdc HIPOE 35W, Camera Mount w/ Axis Hub, Additional Camera - SGL. Cam Arm, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3-500GB, LED Strobe Light Kit, 3 PIR - w/ Optex402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, 400W Solar System 3400 Kit","$83,932.29 ","$55,954.86 ",33%,"$68,237.63 ",19%,"$68,753.28 ",USA,1 Year
Mobile Pro,MPS-3400-15-017,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, Axis PTZ Camera 2.0 MP 1080P 30X Zoom, Axis Dome Camera 2.0 MP 1080P, 12Vdc HIPOE 35W, Camera Mount w/ Axis Hub, Additional Camera - SGL. Cam Arm, Exacq Computer LIC, Cradlepoint Cellular Modem w/ WI-FI Access, Laptop Server - I3-1TB, LED Strobe Light Kit, 3 PIR - w/ Optex402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Wheel Chocks w/ Mounting Brackets, Quiet Winch Upgrade, 10U Rack Upgrade, Single 30' Safety Ribbon Kit w/ Standards, Spare Tire 3400 Only, 400W Solar System 3400 Kit","$92,159.64 ","$61,439.76 ",33%,"$74,926.54 ",19%,"$75,492.73 ",USA,1 Year
Mobile Pro,MPS-001,"Power Sentry Control Section Lite, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Remote Monitoring Not Included, Cellular Communications Not Included","$5,968.05 ","$3,978.70 ",33%,"$4,852.07 ",19%,"$4,888.74 ",USA,1 Year
