Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
LRG Tech,MPS-3400-GS14-1,"Commander 3400 Series Mobile Pro Systems Trailer.ÿ Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put your technology right where You need it. Configuration Includes? Quick InstallTM Hardware System, Stoutrigger Mast Stabilization. Hybrid Automatic Self-Charge Generator System. Configuration Includes 1 Hi Res PTZ camera: 1 Fixed 3 MP Camera: 2 Edge recording","$52,815.99 ","$35,210.66 ",33%,"$41,571.03 ",21.30%,"$41,885.17 ",US,1 Year
LRG Tech,MPS-3400-GS14-2,"Commander 3400 Series Mobile Pro Systems Trailer.ÿ Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put your technology right where You need it. Configuration Includes? Quick InstallTM Hardware System, Stoutrigger Mast Stabilization. Hybrid Automatic Self-Charge Generator System. Configuration Includes 2 Hi Res PTZ camera: 2 VMS License","$65,360.63 ","$43,573.75 ",33%,"$51,444.81 ",21.30%,"$51,833.56 ",US,1 Year
LRG Tech,MPS-3400-GS14-3,"Commander 3400 Series Mobile Pro Systems Trailer.ÿ Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put your technology right where You need it. Configuration Includes? Quick InstallTM Hardware System, Stoutrigger Mast Stabilization. Hybrid Automatic Self-Charge Generator System. Configuration Includes 2 Hi Res PTZ camera: 1 Fixed 3 MP Camera: 3 VMS License","$73,660.89 ","$49,107.26 ",33%,"$57,977.87 ",21.30%,"$58,415.99 ",US,1 Year
LRG Tech,MPS-3400-GS14-4,"Commander 3400 Series Mobile Pro Systems Trailer.ÿ Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put your technology right where You need it. Configuration Includes? Quick InstallTM Hardware System, Stoutrigger Mast Stabilization. Hybrid Automatic Self-Charge Generator System. Configuration Includes 2 Hi Res PTZ camera: 1 PTZ Thermal Imaging Camera: 3 VMS License","$89,991.39 ","$59,994.26 ",33%,"$70,831.48 ",21.30%,"$71,366.73 ",US,1 Year
LRG Tech,MPS-3400-GS14-5,"Commander 3400 Series Mobile Pro Systems Trailer.ÿ Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put your technology right where You need it. Configuration Includes? Quick InstallTM Hardware System, Stoutrigger Mast Stabilization. Hybrid Automatic Self-Charge Generator System. Configuration Includes 2 Hi Res PTZ camera, Ultra Low light technology, built in analytics: 1 Fixed 3 MP Camera: 1 PTZ Thermal Imaging Camera: 4 VMS License","$101,457.87 ","$67,638.58 ",33%,"$79,856.65 ",21.30%,"$80,460.10 ",US,1 Year
LRG Tech,MPS-2800-GS14-1,"Commander 2800 Series Mobile Pro Systems Trailer. Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put their technology right where You need it. Configuration Includes 1 Hi Res PTZ camera: 1 Edge recording","$41,289.30 ","$27,526.20 ",33%,"$32,498.47 ",21.30%,"$32,744.05 ",US,1 Year
LRG Tech,MPS-2800-GS14-2,"Commander 2800 Series Mobile Pro Systems Trailer. Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put their technology right where You need it. Configuration Includes 1 Hi Res PTZ camera: 1 Edge r: 1 Fixed 3 MP Camera: 2 VMS License","$48,472.59 ","$32,315.06 ",33%,"$38,152.37 ",21.30%,"$38,440.68 ",US,1 Year
LRG Tech,MPS-2800-GS14-3,"Commander 2800 Series Mobile Pro Systems Trailer. Flexible, mobile energy for security, network or communication technologies. Fast setup and rugged design. Put their technology right where You need it. Configuration Includes 2 Hi Res PTZ camera: 1 Edge r: 2 VMS License","$59,033.19 ","$39,355.46 ",33%,"$46,464.53 ",21.30%,"$46,815.65 ",US,1 Year
LRG Tech,PS-14-01,"PowerSentry Control System with: Sgl Battery Section: 45ah Battery Pack: Fixed 5 MP Camera: Edge Camera Recording License: On-board Cellular, WiFi, Ethernet ","$8,812.50 ","$5,875.00 ",33%,"$6,936.25 ",21.30%,"$6,988.66 ",US,1 Year
LRG Tech,PS-14-02,"PowerSentry Control System with: Sgl Battery Section: 45ah Battery Pack: Fixed 5 MP Camera: Edge Camera Recording License: Optex LX Motion Detection: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes","$9,210.00 ","$6,140.00 ",33%,"$7,249.11 ",21.30%,"$7,303.89 ",US,1 Year
